chart,chart_label,country,country_code,country_order,metric,value,unit,currency,data_year,directly_reported,source,notes,data_collection_date,framework
Chart 1,Total Space Economy Value / Industry Sales,United Kingdom,UK,1,Total space industry income,18.6,GBP bn,GBP,2022/23,Yes,UK Space Agency / London Economics (2024) Size and Health of the UK Space Industry 2024. Published July 2025.,"Total income £18.6bn (2022/23). Direct GDP contribution £7.2bn. Employment 55,550 FTEs. 1,907 UK-based organisations. Space Applications = 72% of income (dominated by DTH broadcasting).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 1,Total Space Economy Value / Industry Sales,United States,US,2,Space economy GDP,142.5,USD bn,USD,2023,Yes,"BEA (2025) New and Revised Statistics for the U.S. Space Economy, 2012-2023. Survey of Current Business, March 2025. https://apps.bea.gov/scb/issues/2025/03-march/0325-space-economy.htm","Space economy GDP $142.5bn (2023). Gross output $240.9bn. Private employment 373,000. Compensation $57.9bn. Manufacturing: 41.9% compensation, 29.2% employment. SIA (2026): global space economy $429bn in 2025, commercial satellite industry $303bn (71%).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 1,Total Space Economy Value / Industry Sales,United States,US,2,Commercial satellite industry revenue,303.0,USD bn,USD,2025,Yes,SIA (2026) 29th Annual State of the Satellite Industry Report. Published May 2026. https://sia.org,Global space economy $429bn in 2025. Commercial satellite industry $303bn = 71% of total. Launch services $12.4bn. Satellite manufacturing $20.4bn. Satellite services $105.0bn. Ground segment $165.2bn.,2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 1,Total Space Economy Value / Industry Sales,European Union,EU,3,Total space economy upstream + downstream (global),565.0,EUR bn,EUR,2025,Yes,ESA (2026) ESA Report on the Space Economy 2026. https://space-economy.esa.int,"Upstream €75bn + Downstream ~€490bn = €565bn. IMPORTANT: GLOBAL market values, not EU-only. European space budget €13.5bn (2025), +12% YoY.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 1,Total Space Economy Value / Industry Sales,European Union,EU,3,European space industry sales (upstream),10.9,EUR bn,EUR,2025,Yes,ASD-Eurospace (2026) 30th Facts and Figures. Published July 2026. https://eurospace.org,"European space industry sales €10.9bn in 2025, +23% from 2024. Employment 68,139 FTEs (+2.2%). Note: covers upstream manufacturing only — spacecraft design, development and manufacturing. Institutional programmes drove most growth (ESA +€460M, military +€338M).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 1,Total Space Economy Value / Industry Sales,India,IN,4,Space economy total value,8.4,USD bn,USD,2025,Yes — government attributed,"PIB (2026) Press Information Bureau — Parliamentary statement by Dr Jitendra Singh, Minister of State for Space, Rajya Sabha, 29 January 2026. PRID: 2220433. https://www.pib.gov.in/PressReleasePage.aspx?PRID=2220433","Government parliamentary statement: ""India space economy has grown to an estimated $8.4 billion."" 399 start-ups now operating. Expected to grow 4-5x over next 8-10 years (target $40-45bn). ISRO public budget 2025-26: ₹13,042 crore (~$1.56bn).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 2,Governance — Upstream Institutional %,United Kingdom,UK,1,Dual-use firms % of N1 Components upstream,29.0,%,,2026,Yes,This study (July 2026). Derived from firm_database_tableau.csv. 15 dual-use firms in N1 Components (29% of 51). Manual website review — defence_primary=Partial.,"Governance proxy: dual-use proportion at N1 Components — highest upstream node. Full database: 55 dual-use firms (5.2% of 1,065). UK upstream most commercially governed of four economies based on available evidence. US and India: equivalent not published in comparable format by BEA or ISRO — excluded.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 2,Governance — Upstream Institutional %,European Union,EU,3,Institutional demand % of upstream (global),80.0,%,,2025,Yes,"ESA (2026) ESA Report on the Space Economy 2026. Direct quote: ""80% institutional demand now dominated by defence."" https://space-economy.esa.int","ESA directly reports 80% institutional demand at the upstream segment level. Eurospace (2026): institutional programmes drove most 2025 growth — ESA +€460M, military +€338M. Note: ESA figure is global upstream, not EU-only. US and India equivalent not published in comparable format.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United Kingdom,UK,1,Domestic orbital launch providers,0.0,count,,2026,Yes,UK Space Agency / Civil Aviation Authority. SaxaVord Spaceport licensed but not operational.,Zero operational orbital launch providers July 2026. SaxaVord (Shetland) licensed. Spaceport Cornwall ceased January 2023. Skyrora and Orbex in development — not operational.,2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United Kingdom,UK,1,Verified satellite operators (N6),5.0,count,,2026,Yes,This study (July 2026). Verified from ukspacetech.com and Companies House filings.,"Lacuna Space, Viasat UK, Astroscale, D-Orbit UK, Lunasa Space. 3 of 5 are foreign-owned subsidiaries.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United Kingdom,UK,1,Key upstream clusters,1.0,count,,2026,Yes,This study (July 2026) — geographic analysis.,"Harwell Space Cluster, Oxfordshire (OX11).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United Kingdom,UK,1,Space organisations,1907.0,count,,2022/23,Yes,UK Space Agency / London Economics (2024) Size and Health of the UK Space Industry 2024.,"1,907 UK-based organisations with space activities.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United States,US,2,Domestic orbital launch providers,6.0,count,,2025,Yes,FAA Office of Commercial Space Transportation. SIA (2026) 29th Annual SSIR.,"SpaceX (Falcon 9, Falcon Heavy, Starship), Rocket Lab (Electron), ULA (Vulcan, Atlas V), Blue Origin (New Glenn), Firefly (Alpha), Northrop Grumman (Antares). US captured 63% of all 2025 launches (SIA 2026).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United States,US,2,Share of global satellites operated,70.0,% of global fleet,,2025,Yes,SIA (2026) 29th Annual State of the Satellite Industry Report. Published May 2026. https://sia.org,"Direct quote: ""American companies wholly or partially operated more than 70% of the total number of satellites circling the globe at end of 2025."" 14,266 total operational satellites at end 2025.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United States,US,2,Commercial satellites manufactured,83.0,% of global commercial,,2025,Yes,SIA (2026) 29th Annual State of the Satellite Industry Report.,"Direct quote: ""U.S. firms manufactured 83% of commercially procured satellites launched in 2025."" 4,434 commercial satellites launched in 2025.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,United States,US,2,Key upstream clusters,5.0,count,,2025,Yes,FAA (2025) Annual Compendium of Commercial Space Transportation 2025.,"Kennedy Space Center/Cape Canaveral (FL), Vandenberg SFB (CA), Houston/JSC (TX), Seattle/Redmond (WA), Los Angeles basin (CA).",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,European Union,EU,3,Domestic orbital launch providers,2.0,count,,2025,Yes,ESA (2026) ESA Report on the Space Economy 2026. ArianeGroup / Avio public launch records.,Ariane 6 (ArianeGroup) — commercial flights 2024. Vega-C (Avio) — return to service 2025. 8 European launches conducted in 2025.,2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,European Union,EU,3,Key upstream clusters,4.0,count,,2025,Yes,Eurospace (2025) 29th Facts and Figures. ESA (2026) ESA Report on the Space Economy 2026.,Toulouse (Airbus/Thales — France); Bremen (OHB/Airbus — Germany); Rome/Turin (Thales Alenia/Avio — Italy); Noordwijk (ESA ESTEC — Netherlands).,2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,European Union,EU,3,Space industry companies/entities,742.0,count,,2024,Yes,"Eurospace (2025) 29th Facts and Figures. Direct quote: ""The Eurospace facts and figures economic model counts a total of 509 individual entries in 2025, representing a total of 742 companies/entities."" https://eurospace.org","742 companies/entities in European space manufacturing ecosystem (upstream). Employment: 66,000 FTEs in 2024 (68,139 FTEs in 2025 per 30th edition). ASD-Eurospace members represent 90% of total European space industry turnover.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
Chart 3,Resilience Proxies,European Union,EU,3,European space industry employment,68139.0,FTEs,,2025,Yes,ASD-Eurospace (2026) 30th Facts and Figures. Published July 2026.,"68,139 full-time equivalents in 2025, +2.2% YoY. Startups = 11% of workforce. France largest employer (200,000+ total aerospace), Germany, Italy, Spain follow. UK in fifth place with 55,000.",2026-08-03,OECD (2022) Handbook on Measuring the Space Economy. doi:10.1787/8bfef437-en
