company_name,company_name_ch,company_number,company_category,country_of_origin,incorporated,uri,primary_node,node_label,chain_position,secondary_node,review_needed,review_reason,sic_codes_full,matched_sic_code,matched_sic_text,sic_confidence,sic_tier,sic_source,oecd_activity_category,requires_defence_check,website,description,location_hint,ukspacetech_category,address_line1,address_line2,post_town,county,country,postcode,source_ch,source_uksd,source_scc,source_esa,source_website,supply_hierarchy,defence_primary,space_peripheral,ch_verified,notes,data_collection_date,extraction_source,match_type,confidence_level,primary_node_original,review_status,defence_review_status,is_shell,ch_name,ch_status,ch_type,ch_sic_codes,ch_postcode,ch_locality,ch_region,ch_country,ch_incorporated,pipeline_status,pipeline_reason,pipeline_date,ukspace_category,ukspace_profile_url,source_ukspace,space_probability,ml_classification_date,ml_version,classification_reason
Astron Systems,ASTRON SYSTEMS LTD,13346875,Private Limited Company,United Kingdom,20/04/2021,http://business.data.gov.uk/id/company/13346875,N5,Launch,Upstream,N2,Yes,"Most firms are N5 (launch services) but several span nodes. Astron Systems: N5 primary, N2 secondary — develops both the Aurora launch vehicle and its hybrid engines (N2 subsystem). Skyrora: N5 primary, N2 secondary, N6 tertiary — develops rockets (N2), provides launch services (N5), and is developing a space tug for in-orbit operations (N6). Black Arrow Space Technologies: N5 only at current stage. Review each firm description to assign secondary nodes.",30300 - Manufacture of air and spacecraft and related machinery | 51220 - Space transport | 71121 - Engineering design activities for industrial process and production | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),Space launch activities,Yes,https://astronsystems.com,"Harwell-based developer of Aurora, a fully reusable two-stage small-lift launch vehicle, and the hybrid expander electric-cycle engines that power it.",Harwell,Launchers,2 MAPLE COURT,DAVENPORT STREET,MACCLESFIELD,CHESHIRE,UNITED KINGDOM,SK10 1JE,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Develops Aurora 100% reusable launcher (N5) & RELIANT engines (N2). Dual-use: commercial biotech/EO flights (Helogen, Spiral Blue) + defence applications (Shield Space, NATO RSM)",2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Black Arrow Space Technologies,BLACK ARROW SPACE TECHNOLOGIES LTD,10997168,Private Limited Company,United Kingdom,04/10/2017,http://business.data.gov.uk/id/company/10997168,N5,Launch,Upstream,N9,Yes,"Most firms are N5 (launch services) but several span nodes. Astron Systems: N5 primary, N2 secondary — develops both the Aurora launch vehicle and its hybrid engines (N2 subsystem). Skyrora: N5 primary, N2 secondary, N6 tertiary — develops rockets (N2), provides launch services (N5), and is developing a space tug for in-orbit operations (N6). Black Arrow Space Technologies: N5 only at current stage. Review each firm description to assign secondary nodes.",30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),Space launch activities,Yes,https://blackarrow-space.uk,"Developing orbital launch services from a seaborne spaceport, with the aim of providing net-zero satellite launch.",,Launchers,29 DEVIZES ROAD,,SWINDON,,ENGLAND,SN1 4BG,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Developing commercial orbital launch services utilizing an innovative seaborne spaceport launch concept to deploy up to 500kg into LEO.,2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Skyrora,SKYRORA LIMITED,SC569511,Private Limited Company,United Kingdom,23/06/2017,http://business.data.gov.uk/id/company/SC569511,N5,Launch,Upstream,,Yes,"Most firms are N5 (launch services) but several span nodes. Astron Systems: N5 primary, N2 secondary — develops both the Aurora launch vehicle and its hybrid engines (N2 subsystem). Skyrora: N5 primary, N2 secondary, N6 tertiary — develops rockets (N2), provides launch services (N5), and is developing a space tug for in-orbit operations (N6). Black Arrow Space Technologies: N5 only at current stage. Review each firm description to assign secondary nodes.","74909 - Other professional, scientific and technical activities n.e.c. | nan | nan | nan",74909.0,"74909 - Other professional, scientific and technical activities n.e.c.",Low,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 74.90 other professional, scientific and technical activities — CPA 74.90.13 environmental consulting, CPA 74.90.14 weather forecasting and meteorological services.",Space launch activities,No,https://skyrora.com,"Edinburgh-based launch services provider developing the Skyrora XL orbital rocket, the Skylark L suborbital vehicle, and a space tug for in-orbit operations.",Edinburgh,Launchers,7 DRUM MAINS PARK,CUMBERNAULD,GLASGOW,,SCOTLAND,G68 9LD,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: UK launch vehicle developer building Skyrora XL and Skylark rockets for commercial small satellite deployment.,2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
AAC Clyde Space,CLYDE SPACE LIMITED,SC285287,Private Limited Company,United Kingdom,25/05/2005,http://business.data.gov.uk/id/company/SC285287,N3,Satellite and Spacecraft Manufacturing,Upstream,N2,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.",26110 - Manufacture of electronic components | 30300 - Manufacture of air and spacecraft and related machinery | 72190 - Other research and experimental development on natural sciences and engineering | nan,26110.0,26110 - Manufacture of electronic components,Medium,Tier 2,ONS SIC 2026 and OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 26.11 electronic components.,Integration and supply of full space systems,No,https://aac-clyde.space,"Glasgow-headquartered smallsat manufacturer and Space-Data-as-a-Service provider, offering CubeSat platforms, subsystems, and Earth observation data through its VIREON constellation.",,Satellite Manufacturers,SKYPARK 5,45 FINNIESTON STREET,GLASGOW,,UNITED KINGDOM,G3 8JU,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Manufactures CubeSat platforms (N3) and subsystems (N2) alongside offering Space-Data-as-a-Service.,2026-07-23,CH_BULK+UKSPACETECH,partial,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Airbus,AIRBUS BELFAST LIMITED,NI727952,Private Limited Company,United Kingdom,28/03/2025,http://business.data.gov.uk/id/company/NI727952,N3,Satellite and Spacecraft Manufacturing,Upstream,N8,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.",30300 - Manufacture of air and spacecraft and related machinery | 71121 - Engineering design activities for industrial process and production | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),Integration and supply of full space systems,Yes,https://airbus.com,"Designs and manufactures around a quarter of the world's telecommunications satellites, with major UK sites at Stevenage and Portsmouth producing satellite platforms, payloads, and Earth observation spacecraft.",,Satellite Manufacturers,VICTORIA HOUSE 15-17,GLOUCESTER STREET,BELFAST,,NORTHERN IRELAND,BT1 4LS,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Major defence & commercial prime; manufactures telecommunications, EO, and science satellites (Stevenage/Portsmouth) and operates Skynet satcom.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Alba Orbital,ALBA ORBITAL LIMITED,SC434130,Private Limited Company,United Kingdom,05/10/2012,http://business.data.gov.uk/id/company/SC434130,N3,Satellite and Spacecraft Manufacturing,Upstream,N5,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.",32990 - Other manufacturing n.e.c. | 61300 - Satellite telecommunications activities | nan | nan,61300.0,61300 - Satellite telecommunications activities,High,Tier 1,"ONS SIC 2007 index: satellite circuit rental services, telecommunications satellite relay station. Also confirmed by OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: satellite telecommunications activities.",Integration and supply of full space systems,No,https://albaorbital.com,"Glasgow-based PocketQube pico-satellite manufacturer, launch broker, and operator of the Unicorn-2 bus and the Night Lights low-light Earth imaging service.",Glasgow,Satellite Manufacturers,33 WATT ROAD,HILLINGTON PARK,GLASGOW,,SCOTLAND,G52 4RY,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Manufactures PocketQube pico-satellites (Unicorn platform) and acts as a rideshare launch broker via Albapod deployers.,2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Blue Skies Space,BLUE SKIES SPACE LTD,09348394,Private Limited Company,United Kingdom,10/12/2014,http://business.data.gov.uk/id/company/09348394,N3,Satellite and Spacecraft Manufacturing,Upstream,N7,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.","74909 - Other professional, scientific and technical activities n.e.c. | nan | nan | nan",74909.0,"74909 - Other professional, scientific and technical activities n.e.c.",Low,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 74.90 other professional, scientific and technical activities — CPA 74.90.13 environmental consulting, CPA 74.90.14 weather forecasting and meteorological services.",Integration and supply of full space systems,No,https://bssl.space,"London-based commercial science-satellite operator running the Mauve UV-visible spectroscopy mission and developing the Twinkle exoplanet spectroscopy satellite, with data delivered to researchers by subscription through its Stardrive platform.",London,Satellite Manufacturers,69 WILSON STREET,IDEALONDON,LONDON,,ENGLAND,EC2A 2BB,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Commercial operator of space science satellites (Mauve, Twinkle) delivering astronomy and space research data via subscription.",2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Boeing,BOEING COMMERCIAL AVIATION SERVICES EUROPE LIMITED,08186759,Private Limited Company,United Kingdom,21/08/2012,http://business.data.gov.uk/id/company/08186759,N3,Satellite and Spacecraft Manufacturing,Upstream,N8,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.",52230 - Service activities incidental to air transportation | nan | nan | nan,52230.0,52230 - Service activities incidental to air transportation,Medium,Tier 1,ONS SIC 2007 index: service activities incidental to space transportation. Also confirmed by OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: 52.23 services incidental to space transportation.,Integration and supply of full space systems,No,https://boeing.co.uk,"Aerospace prime whose UK space activities span satellite communications, GPS and PNT systems, and collaborative R&D on next-generation satellite technologies.",,Satellite Manufacturers,25 VICTORIA STREET,,LONDON,,,SW1H 0EX,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Aerospace prime providing satellite communications, GPS/PNT systems, and R&D for both civil and military sectors.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Exobotics,EXOBOTICS LTD,11709413,Private Limited Company,United Kingdom,04/12/2018,http://business.data.gov.uk/id/company/11709413,N3,Satellite and Spacecraft Manufacturing,Upstream,N2,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.",26120 - Manufacture of loaded electronic boards | 30300 - Manufacture of air and spacecraft and related machinery | 71129 - Other engineering activities | 72190 - Other research and experimental development on natural sciences and engineering,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),Integration and supply of full space systems,Yes,https://exobotics.space,"Oxford-based supplier of 1U–27U CubeSat buses, subsystems, and desktop thermal-vacuum and vibration test equipment for small spacecraft.",Oxford,Satellite Manufacturers,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Supplier of 1U–27U CubeSat platforms, spacecraft subsystems, and thermal-vacuum/vibration test hardware.",2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Honeywell,HONEYWELL UK LIMITED,00301598,Private Limited Company,United Kingdom,07/06/1935,http://business.data.gov.uk/id/company/00301598,N2,Satellite and Spacecraft Manufacturing,Upstream,N1,Yes,"Category spans multiple nodes. Confirmed dual-node N3/N6: Surrey Satellite Technology (builds and operates EO, navigation, science satellites), In-Space Missions (builds and operates hosted-payload missions), Alba Orbital (builds PocketQubes and operates Unicorn-2 and Night Lights), NanoAvionics (bus manufacturer and mission integrator), Open Cosmos (builds smallsats and operates OpenConstellation). Node corrections required: Blue Skies Space is N6 primary (operates Mauve mission, delivers data by subscription) with N3 secondary. Honeywell is N2 (manufactures components and subsystems — not a full satellite integrator). L3Harris is N2 primary (RF payloads, comms subsystems) with N9 secondary (defence advisory). Lockheed Martin is N4 primary (satellite ground systems, spaceport support) with N9 secondary. MDA Space is N2 primary (software-defined payloads, subsystems). AAC Clyde Space spans N3/N6/N7 — builds satellites, operates VIREON constellation, delivers Space-Data-as-a-Service. Defence firms requiring defence_primary check: BAE Systems, L3Harris, Lockheed Martin, RTX.",25620 - Machining | nan | nan | nan,25620.0,25620 - Machining,Low,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 25.62 machining — CPA 25.62.10 turning services of metal parts, 25.62.20 other machining services.",Integration and supply of full space systems,No,https://honeywell.com,"Designs and manufactures components and subsystems for communications, Earth observation, and scientific satellites, including inertial sensors, guidance hardware, and avionics.",,Satellite Manufacturers,HONEYWELL HOUSE,SKIMPED HILL LANE,BRACKNELL,BERKS,,RG12 1EB,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Manufactures satellite guidance systems, inertial sensors, avionics, and RF components for commercial and military space platforms.",2026-07-23,CH_BULK+UKSPACETECH,exact,High,N3,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
