segment,activity_type,firm_count,pct_of_segment
Upstream,Components and Materials,70,55.6
Upstream,Data Processing and Analytics,33,26.2
Upstream,Satellite Manufacturing,12,9.5
Upstream,Subsystems and Payloads,6,4.8
Upstream,Space Consultancy and R&D,2,1.6
Upstream,Launch Services,2,1.6
Upstream,Satellite Communications,1,0.8
Midstream,Data Processing and Analytics,85,53.1
Midstream,Launch Services,44,27.5
Midstream,Ground Infrastructure,17,10.6
Midstream,Components and Materials,7,4.4
Midstream,Space Applications and Services,3,1.9
Midstream,Space Consultancy and R&D,2,1.2
Midstream,Subsystems and Payloads,1,0.6
Midstream,Satellite Operations,1,0.6
Downstream,Space Consultancy and R&D,356,45.7
Downstream,Satellite Communications,284,36.5
Downstream,Space Applications and Services,74,9.5
Downstream,Data Processing and Analytics,19,2.4
Downstream,Components and Materials,15,1.9
Downstream,Launch Services,11,1.4
Downstream,Subsystems and Payloads,6,0.8
Downstream,Ground Infrastructure,5,0.6
Downstream,Satellite Operations,4,0.5
Downstream,Space Finance and Legal,2,0.3
Downstream,Space Education and Training,1,0.1
Downstream,Navigation and Positioning,1,0.1
Downstream,Satellite Manufacturing,1,0.1
